,brier_score,log_score,recall,precision,accuracy,f1score,roc_auc
0,0.051324038353496276,0.23068708557386777,0.560986101029653,0.05609363365349204,0.5160705772659869,0.10198924731182794,0.5373715548512372
1,0.05129738525537511,0.23075843621501693,0.5598838616017421,0.05614824041346846,0.5174006832267054,0.10206121908906467,0.5375481323598463
2,0.05131125264027499,0.23070473993662965,0.5609592171411673,0.056152682766675455,0.5166065704600586,0.10208639622692281,0.537640606215088
3,0.05133064261052445,0.23078914212595092,0.5606097265908541,0.05610471373224279,0.5164590735614443,0.10200133536491414,0.5373973147695852
4,0.051328741399025046,0.2307592779186947,0.5607710299217679,0.05609278611112605,0.5162299265939542,0.10198429092829224,0.5373533370344126
5,0.051324668338876965,0.23076765686117304,0.5608247976987392,0.05608428908640223,0.5161140361736144,0.10197113563319522,0.5373179062225835
6,0.05133415555534906,0.23073676914045324,0.5612280560260237,0.05611873214031296,0.5161021837442614,0.10203473169205807,0.5375029181328084
7,0.051333016518707315,0.23079290800221758,0.5606366104793398,0.05608386492970019,0.5162562653258497,0.10196732292993474,0.5373034369521748
8,0.05132077295532898,0.23075891361902637,0.5605559588138829,0.05609284332688588,0.5163971775414901,0.10198082754573022,0.5373392735309421
9,0.051327013565869994,0.2307454556769109,0.5607172621447967,0.056126650269371324,0.5165670623622155,0.10203936859563162,0.5375050886201626
